id,category,name,decimalMap,binaryMap
201,NEW,NEW,,10000001 01000010 00100100 00011000 00011000 00100100 01000010 10000001
202,NEW,NEW,,10000001 01000010 00100100 00111100 00111100 00100100 01000010 10000001
203,NEW,NEW,,10000001 01000010 00111100 00111100 00111100 00111100 01000010 10000001
204,NEW,NEW,,10000001 01000010 00111100 01111110 01111110 00111100 01000010 10000001
205,NEW,NEW,,10000001 01011010 00111100 01111110 01111110 00111100 01011010 10000001
206,NEW,NEW,,10000001 01011010 00111100 11111111 11111111 00111100 01011010 10000001
207,NEW,NEW,,10011001 01011010 00111100 11111111 11111111 00111100 01011010 10011001
208,NEW,NEW,,00011000 01011010 00111100 11111111 11111111 00111100 01011010 00011000
209,NEW,NEW,,00011000 00011000 00111100 11111111 11111111 00111100 00011000 00011000
210,NEW,NEW,,00011000 00011000 00011000 11111111 11111111 00011000 00011000 00011000
211,NEW,NEW,,00000000 00011000 00011000 01111110 01111110 00011000 00011000 00000000
212,NEW,NEW,,00000000 00000000 00011000 00111100 00111100 00011000 00000000 00000000
213,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
214,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
215,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
216,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00100100
217,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00011000
218,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00100100
219,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
220,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00100100
221,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00011000
222,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00100100
223,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
224,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00011000
225,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
226,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00011000
227,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
228,NEW,NEW,,00011000 00111100 01111110 01111110 01111110 00011000 00100100 01000010
229,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
230,NEW,NEW,,00011000 00111100 01111110 01111110 01111110 00011000 00100100 01000010
231,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 01000010
232,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00100100 00000000
233,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00011000 00000000 00000000
234,NEW,NEW,,00011000 00111100 01011010 01111110 01111110 00000000 00000000 00000000
235,NEW,NEW,,00000000 00111100 01011010 01111110 01111110 00000000 00000000 00000000
236,NEW,NEW,,00000000 00000000 01011010 01111110 01111110 00000000 00000000 00000000
237,NEW,NEW,,00000000 00000000 01011010 01111110 00011000 00000000 00000000 00000000
238,NEW,NEW,,00000000 00000000 00011000 01111110 00011000 00000000 00000000 00000000
239,NEW,NEW,,00000000 00000000 00011000 00111100 00011000 00000000 00000000 00000000
240,NEW,NEW,,00000000 00000000 00011000 00011000 00011000 00000000 00000000 00000000
241,NEW,NEW,,00000000 00000000 00000000 00011000 00000000 00000000 00000000 00000000
242,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
243,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
244,NEW,NEW,,10000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
245,NEW,NEW,,11000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
246,NEW,NEW,,11100000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
247,NEW,NEW,,11110000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
248,NEW,NEW,,11111000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
249,NEW,NEW,,11111100 00000000 00000000 00000000 00000000 00000000 00000000 00000000
250,NEW,NEW,,11111110 00000000 00000000 00000000 00000000 00000000 00000000 00000000
251,NEW,NEW,,11111111 00000000 00000000 00000000 00000000 00000000 00000000 00000000
252,NEW,NEW,,11111111 00000001 00000000 00000000 00000000 00000000 00000000 00000000
253,NEW,NEW,,11111111 00000001 00000001 00000000 00000000 00000000 00000000 00000000
254,NEW,NEW,,11111111 00000001 00000001 00000001 00000000 00000000 00000000 00000000
255,NEW,NEW,,11111111 00000001 00000001 00000001 00000001 00000000 00000000 00000000
256,NEW,NEW,,11111111 00000001 00000001 00000001 00000001 00000001 00000000 00000000
257,NEW,NEW,,11111111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
258,NEW,NEW,,01111111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
259,NEW,NEW,,00111111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
260,NEW,NEW,,00011111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
261,NEW,NEW,,00001111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
262,NEW,NEW,,00000111 00000001 00000001 00000001 00000001 00000001 00000001 00000000
263,NEW,NEW,,00000011 00000001 00000001 00000001 00000001 00000001 00000001 00000000
264,NEW,NEW,,00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000000
265,NEW,NEW,,00000000 00000001 00000001 00000001 00000001 00000001 00000001 00000000
266,NEW,NEW,,00000000 00000000 00000001 00000001 00000001 00000001 00000001 00000000
267,NEW,NEW,,00000000 00000000 00000000 00000001 00000001 00000001 00000001 00000000
268,NEW,NEW,,00000000 00000000 00000000 00000000 00000001 00000001 00000001 00000000
269,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000001 00000001 00000000
270,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000
271,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
272,NEW,NEW,,00000000 00000000 00000000 00000000 00010000 00000000 00000000 00000000
273,NEW,NEW,,00000000 00000000 00000000 00001000 00010000 00000000 00000000 00000000
274,NEW,NEW,,00000000 00000000 00000000 00011000 00010000 00000000 00000000 00000000
275,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
276,NEW,NEW,,00000000 00000000 00000000 00001000 00011000 00000000 00000000 00000000
277,NEW,NEW,,00000000 00000000 00000000 00001000 00010000 00000000 00000000 00000000
278,NEW,NEW,,00000000 00000000 00000000 00011000 00010000 00000000 00000000 00000000
279,NEW,NEW,,00000000 00000000 00000000 00010000 00010000 00000000 00000000 00000000
280,NEW,NEW,,00000000 00000000 00000000 00010000 00011000 00000000 00000000 00000000
281,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
282,NEW,NEW,,00000000 00000000 00000000 00001000 00011000 00000000 00000000 00000000
283,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
